Time,bit-x,cex.io,coinbase,exmo,gemini,hitbtc,itbit,kraken,others,therocktrading
2013-03-07 00:00:00 UTC,,,,,,,,,42.1826647617473,43.1408641975309
2013-03-08 00:00:00 UTC,,,,,,,,,43.09215050061195,44.2952083333333
2013-03-09 00:00:00 UTC,,,,,,,,,44.83977815023667,47.0263636363636
2013-03-10 00:00:00 UTC,,,,,,,,,46.99153179421603,
2013-03-11 00:00:00 UTC,,,,,,,,,47.61595963194607,48.190625
2013-03-12 00:00:00 UTC,,,,,,,,,45.91807082718611,45.001303030303
2013-03-13 00:00:00 UTC,,,,,,,,,46.72191749220504,46.1666666666667
2013-03-14 00:00:00 UTC,,,,,,,,,47.25547121482714,45.7
2013-03-15 00:00:00 UTC,,,,,,,,,47.113853294830776,
2013-03-16 00:00:00 UTC,,,,,,,,,47.02676289807402,47.145
2013-03-17 00:00:00 UTC,,,,,,,,,46.9545793572347,
2013-03-18 00:00:00 UTC,,,,,,,,,47.67935820640076,47.819
2013-03-19 00:00:00 UTC,,,,,,,,,54.127676678909594,52.6663888888889
2013-03-20 00:00:00 UTC,,,,,,,,,60.658050819866205,61.245
2013-03-21 00:00:00 UTC,,,,,,,,,68.33153139285646,70.497
2013-03-22 00:00:00 UTC,,,,,,,,,71.47768554482413,75.2475
2013-03-23 00:00:00 UTC,,,,,,,,,65.74237792751954,70.0
2013-03-24 00:00:00 UTC,,,,,,,,,68.15156883913983,
2013-03-25 00:00:00 UTC,,,,,,,,,73.83840162281805,76.3044444444444
2013-03-26 00:00:00 UTC,,,,,,,,,77.27169247702523,80.1825
2013-03-27 00:00:00 UTC,,,,,,,,,85.26130130465397,86.2530952380953
2013-03-28 00:00:00 UTC,,,,,,,,,90.68648389517752,86.9964285714286
2013-03-29 00:00:00 UTC,,,,,,,,,90.15373505040442,88.0
2013-03-30 00:00:00 UTC,,,,,,,,,91.71555731284941,93.5
2013-03-31 00:00:00 UTC,,,,,,,,,93.09883775046062,94.8125
2013-04-01 00:00:00 UTC,,,,,,,,,97.95418661477036,97.3157738095238
2013-04-02 00:00:00 UTC,,,,,,,,,107.49569927999485,107.511785714286
2013-04-03 00:00:00 UTC,,,,,,,,,130.43460862831887,117.772333333333
2013-04-04 00:00:00 UTC,,,,,,,,,132.2016285208413,
