Time,Price
1,237.7561995
2,237.0663341
3,235.2278823
4,241.6583704
5,244.6040826
6,243.2741667
7,243.567931
8,244.0995536
9,244.1991318
10,239.0447394
11,239.6266173
12,239.4252907
13,239.0946027
14,238.6027698
15,234.7803967
16,236.1714941
17,237.7470914
18,239.326914
19,241.6865856
20,241.7563393
21,240.6089561
22,239.3796545
23,238.9587954
24,238.9553645
25,238.9959212
26,236.6328083
27,234.9118036
28,230.1672692
29,227.7325283
30,229.3217622
31,228.5811241
32,227.5944471
33,228.0894811
34,227.7167593
35,229.0253276
36,232.0407811
37,231.965221
38,232.5437077
39,232.6523778
40,232.8868472
41,235.1520555
42,237.1487627
43,243.3944559
44,251.6811775
45,250.510504
46,249.2647749
47,245.5850045
48,245.3170152
49,246.8613115
50,246.3820456
51,243.903732
52,243.7774568
53,243.9138333
54,247.1029583
55,250.3092541
56,253.9397479
57,264.164505
58,261.3380143
59,259.0268295
60,257.270971
61,258.6489864
62,264.6674266
63,272.021611
64,269.2353597
65,269.8436945
66,271.1675568
67,282.2196093
68,291.5544237
69,305.1367745
70,294.1970428
71,290.6106402
72,291.2149731
73,284.4185668
74,279.5663044
75,279.9516955
76,277.596335
77,277.3429098
78,279.3046839
79,277.2805793
80,277.3518956
81,283.1611243
82,288.5312252
83,291.0404243
84,293.8086446
85,294.8842146
86,291.6287634
87,289.0150737
88,286.0531007
89,282.3868902
90,281.1384876
91,284.1627323
92,285.7158505
93,284.5740631
94,280.9825341
95,279.4028352
96,273.7849358
97,264.3209905
98,265.2244552
99,266.5945336
100,268.8201312
101,265.8142643
102,266.208861
103,266.2449518
104,260.5028569
105,259.3757126
106,255.2196646
107,233.0058464
108,233.7233579
109,234.0361201
110,230.4262582
111,229.7592055
112,220.7790729
113,216.1886522
114,226.6516626
115,226.7702889
116,228.8627491
117,230.6426048
118,229.0404319
119,229.6764881
120,229.3474157
121,229.3848133
122,228.5203509
123,230.1397631
124,232.9308898
125,240.4987472
126,241.4351668
127,244.1417076
128,241.2011981
129,239.1610041
130,241.1061179
131,239.9207433
132,234.3546494
133,231.7158176
134,232.161612
135,230.1682881
136,231.7162252
137,234.1340655
138,232.9855293
139,232.5078771
140,229.3894317
141,230.4116944
142,231.8440774
143,233.6162578
144,236.7905441
145,235.7113377
146,234.6322426
147,238.1179163
148,238.969609
149,237.9105731
150,237.8961139
151,238.5121096
152,238.9577172
153,239.506156
154,239.6125725
155,243.5474712
156,245.5302732
157,244.5058828
158,244.9460435
159,245.4857426
160,246.875734
161,247.5665714
162,248.5065769
163,251.8745773
164,255.0844445
165,260.5912568
166,269.5943515
167,266.9225551
168,263.9835707
169,268.1817543
170,268.3447468
171,272.2962244
172,277.0265911
173,279.9315664
174,289.4332387
175,284.8064303
176,292.4505623
177,300.9165723
178,309.0359267
179,324.6634565
180,322.4638106
181,317.4783713
182,335.1312535
183,380.4947239
184,443.947657
185,401.2006655
186,373.2204074
187,384.1531117
188,382.7300457
189,375.2156105
190,365.6541231
191,317.4626572
192,329.149598
193,335.1759845
194,335.2405484
195,329.7275831
196,323.9395122
197,335.4924676
198,334.1572625
199,331.5491288
200,321.2158889
201,325.2283579
202,324.9130451
203,323.9743322
204,321.7103379
205,323.6284299
206,343.6579659
207,356.4692991
208,357.1639092
209,361.5601976
210,377.0871482
211,368.1076683
212,357.4892209
213,363.1381449
214,361.3263867
215,374.861528
216,392.8299028
217,392.8257769
218,394.9768581
219,416.2360818
220,417.1395653
221,431.9170888
222,432.3715231
223,434.7758878
224,440.0915373
225,454.8079918
226,455.6697549
227,453.959559
228,460.1709944
229,462.2764795
230,453.4251151
231,438.0791431
232,439.1551652
233,440.7257824
234,453.5805682
235,454.9649391
236,431.3535889
237,419.8486653
238,425.5998037
239,426.7567734
240,430.4646164
241,427.4483823
242,432.9802759
243,434.1706495
244,430.2177573
245,432.1401447
246,432.8802323
247,430.6362263
248,448.1874385
249,455.2501506
250,450.9736466
251,445.6450722
252,448.0324947
253,447.1251794
254,430.4638845
255,431.7510768
256,404.7265655
257,371.9195682
258,385.3684298
259,383.7463595
260,384.8097172
261,393.7390993
262,414.9735179
263,394.8206944
264,389.5941035
265,396.8657673
266,396.8270929
267,394.3348997
268,395.3584084
269,385.1252761
270,377.6752156
271,379.4353983
272,378.9657835
273,374.8335793
274,374.9295526
275,372.81093
276,378.8304315
277,387.4563692
278,377.8527587
279,377.3537021
280,376.759205
281,374.8128115
282,378.9987243
283,379.6320025
284,382.0476337
285,388.8227803
286,398.7451961
287,402.9696192
288,403.8651596
289,414.1055979
290,420.0417292
291,419.9368067
292,429.72662
293,437.3795328
294,435.1101586
295,426.6956291
296,420.6355225
297,422.9215918
298,423.8474435
299,431.9130384
300,428.9475297
301,436.1603541
302,434.0343421
303,431.7015553
304,421.5647314
305,419.3611551
306,403.525223
307,403.8018406
308,409.4471703
309,412.3785668
310,411.9064158
311,413.6450777
312,419.3728178
313,413.6272535
314,412.6842996
315,413.8608791
316,415.6295895
317,415.4597049
318,418.6867175
319,413.6143735
320,408.3393493
321,411.0785337
322,410.909528
323,416.1253634
324,417.5071515
325,416.1659298
326,415.6654344
327,416.3498371
328,420.0907777
329,423.5872161
330,418.5411888
331,413.5464101
332,415.779943
333,416.2177881
334,419.2552339
335,418.7796623
336,419.2249393
337,421.8705293
338,422.0442441
339,420.9372313
340,421.2631694
341,417.3910186
342,419.7385536
343,421.1423663
344,424.7344938
345,424.6585538
346,424.1742304
347,427.1631507
348,430.0557748
349,428.3752086
350,427.9053981
351,429.294228
352,437.5407614
353,443.4474733
354,445.9259835
355,446.8809177
356,453.2665452
357,458.0512393
358,463.28599
359,458.2877413
360,445.1638546
361,450.1299174
362,452.1630467
363,450.7243144
364,446.8776878
365,447.1980743
366,447.7403334
367,447.1103567
368,451.7235982
369,458.1475173
370,458.1295734
371,459.217293
372,456.290093
373,453.5541461
374,452.464483
375,455.3342548
376,455.9609731
377,456.5086295
378,455.9222198
379,453.8573151
380,454.752262
381,450.0197136
382,441.0055831
383,441.7094699
384,441.6417277
385,441.7683837
386,445.0739771
387,448.10757
388,450.6477927
389,469.9883261
390,492.9681489
391,523.424892
392,531.1460147
393,534.7964687
394,533.1524785
395,537.9735031
396,553.4297692
397,573.4476256
398,575.5175805
399,580.8803423
400,580.3031218
401,575.5131491
402,576.5017072
403,576.2122025
