Time	Price
1	220.4848192
2	232.4779881
3	246.7317026
4	250.3499883
5	235.7623237
6	240.0133672
7	240.6354963
8	239.268101
9	244.3736599
10	245.4840425
11	242.7106936
12	238.1449608
13	240.035064
14	239.4103184
15	237.9248049
16	250.3162552
17	252.6600513
18	252.1286051
19	263.1372704
20	275.6789862
21	279.998225
22	272.4747061
23	273.7542991
24	274.5599302
25	275.8769954
26	282.9203698
27	294.0469067
28	294.7359321
29	295.9507859
30	293.1086094
31	287.3792894
32	287.2622211
33	293.2833083
34	291.2902908
35	275.9079852
36	260.3237068
37	263.2358945
38	261.7367087
39	264.6773277
40	269.4139698
41	259.0727489
42	248.4800821
43	251.9427365
44	250.2045751
45	253.0497233
46	247.2947589
47	247.0063378
48	247.1185516
49	245.7248795
50	249.3734586
51	254.4521781
52	254.0756263
53	256.5730764
54	259.0079925
55	254.9059641
56	250.7952855
57	246.7860736
58	241.4500863
59	238.9599478
60	238.5984774
61	234.9019416
62	223.584995
63	223.5101167
64	228.6916786
65	226.6054884
66	225.1661804
67	226.1391391
68	226.3674508
69	227.846904
70	236.5871053
71	236.1779054
72	233.9450822
73	231.1335058
74	222.2428647
75	224.1700713
76	227.53246
77	227.4462934
78	234.3771668
79	237.8340682
80	237.1418237
81	241.5353314
82	242.1265717
83	237.7561995
84	237.0663341
85	235.2278823
86	241.6583704
87	244.6040826
88	243.2741667
89	243.567931
90	244.0995536
91	244.1991318
92	239.0447394
93	239.6266173
94	239.4252907
95	239.0946027
96	238.6027698
97	234.7803967
98	236.1714941
99	237.7470914
100	239.326914
101	241.6865856
102	241.7563393
103	240.6089561
104	239.3796545
105	238.9587954
106	238.9553645
107	238.9959212
108	236.6328083
109	234.9118036
110	230.1672692
111	227.7325283
112	229.3217622
113	228.5811241
114	227.5944471
115	228.0894811
116	227.7167593
117	229.0253276
118	232.0407811
119	231.965221
120	232.5437077
121	232.6523778
122	232.8868472
123	235.1520555
124	237.1487627
125	243.3944559
126	251.6811775
127	250.510504
128	249.2647749
129	245.5850045
130	245.3170152
131	246.8613115
132	246.3820456
133	243.903732
134	243.7774568
135	243.9138333
136	247.1029583
137	250.3092541
138	253.9397479
139	264.164505
140	261.3380143
141	259.0268295
142	257.270971
143	258.6489864
144	264.6674266
145	272.021611
146	269.2353597
147	269.8436945
148	271.1675568
149	282.2196093
150	291.5544237
151	305.1367745
152	294.1970428
153	290.6106402
154	291.2149731
155	284.4185668
156	279.5663044
157	279.9516955
158	277.596335
159	277.3429098
160	279.3046839
161	277.2805793
162	277.3518956
163	283.1611243
164	288.5312252
165	291.0404243
166	293.8086446
167	294.8842146
168	291.6287634
169	289.0150737
170	286.0531007
171	282.3868902
172	281.1384876
173	284.1627323
174	285.7158505
175	284.5740631
176	280.9825341
177	279.4028352
178	273.7849358
179	264.3209905
180	265.2244552
181	266.5945336
182	268.8201312
183	265.8142643
184	266.208861
185	266.2449518
186	260.5028569
187	259.3757126
188	255.2196646
189	233.0058464
190	233.7233579
191	234.0361201
192	230.4262582
193	229.7592055
194	220.7790729
195	216.1886522
196	226.6516626
197	226.7702889
198	228.8627491
199	230.6426048
200	229.0404319
201	229.6764881
202	229.3474157
203	229.3848133
204	228.5203509
205	230.1397631
206	232.9308898
207	240.4987472
208	241.4351668
209	244.1417076
210	241.2011981
211	239.1610041
212	241.1061179
213	239.9207433
214	234.3546494
215	231.7158176
216	232.161612
217	230.1682881
218	231.7162252
219	234.1340655
220	232.9855293
221	232.5078771
222	229.3894317
223	230.4116944
224	231.8440774
225	233.6162578
226	236.7905441
227	235.7113377
228	234.6322426
229	238.1179163
230	238.969609
231	237.9105731
232	237.8961139
233	238.5121096
234	238.9577172
235	239.506156
236	239.6125725
237	243.5474712
238	245.5302732
239	244.5058828
240	244.9460435
241	245.4857426
242	246.875734
243	247.5665714
244	248.5065769
245	251.8745773
246	255.0844445
247	260.5912568
248	269.5943515
249	266.9225551
250	263.9835707
251	268.1817543
252	268.3447468
253	272.2962244
254	277.0265911
255	279.9315664
256	289.4332387
257	284.8064303
258	292.4505623
259	300.9165723
260	309.0359267
261	324.6634565
262	322.4638106
263	317.4783713
264	335.1312535
265	380.4947239
266	443.947657
267	401.2006655
268	373.2204074
269	384.1531117
270	382.7300457
271	375.2156105
272	365.6541231
273	317.4626572
274	329.149598
275	335.1759845
276	335.2405484
277	329.7275831
278	323.9395122
279	335.4924676
280	334.1572625
281	331.5491288
282	321.2158889
283	325.2283579
284	324.9130451
285	323.9743322
286	321.7103379
287	323.6284299
288	343.6579659
289	356.4692991
290	357.1639092
291	361.5601976
292	377.0871482
293	368.1076683
294	357.4892209
295	363.1381449
296	361.3263867
297	374.861528
298	392.8299028
299	392.8257769
300	394.9768581
301	416.2360818
302	417.1395653
303	431.9170888
304	432.3715231
305	434.7758878
306	440.0915373
307	454.8079918
308	455.6697549
309	453.959559
310	460.1709944
311	462.2764795
312	453.4251151
313	438.0791431
314	439.1551652
315	440.7257824
316	453.5805682
317	454.9649391
318	431.3535889
319	419.8486653
320	425.5998037
321	426.7567734
322	430.4646164
323	427.4483823
324	432.9802759
325	434.1706495
326	430.2177573
327	432.1401447
328	432.8802323
329	430.6362263
330	448.1874385
331	455.2501506
332	450.9736466
333	445.6450722
334	448.0324947
335	447.1251794
336	430.4638845
337	431.7510768
338	404.7265655
339	371.9195682
340	385.3684298
341	383.7463595
342	384.8097172
343	393.7390993
344	414.9735179
345	394.8206944
346	389.5941035
347	396.8657673
348	396.8270929
349	394.3348997
350	395.3584084
351	385.1252761
352	377.6752156
353	379.4353983
354	378.9657835
355	374.8335793
356	374.9295526
357	372.81093
358	378.8304315
359	387.4563692
360	377.8527587
361	377.3537021
362	376.759205
363	374.8128115
364	378.9987243
365	379.6320025
366	382.0476337
367	388.8227803
368	398.7451961
369	402.9696192
370	403.8651596
371	414.1055979
372	420.0417292
373	419.9368067
374	429.72662
375	437.3795328
376	435.1101586
377	426.6956291
378	420.6355225
379	422.9215918
380	423.8474435
381	431.9130384
382	428.9475297
383	436.1603541
384	434.0343421
385	431.7015553
386	421.5647314
387	419.3611551
388	403.525223
389	403.8018406
390	409.4471703
391	412.3785668
392	411.9064158
393	413.6450777
394	419.3728178
395	413.6272535
396	412.6842996
397	413.8608791
398	415.6295895
399	415.4597049
400	418.6867175
401	413.6143735
402	408.3393493
403	411.0785337
404	410.909528
405	416.1253634
406	417.5071515
407	416.1659298
408	415.6654344
409	416.3498371
410	420.0907777
411	423.5872161
412	418.5411888
413	413.5464101
414	415.779943
415	416.2177881
416	419.2552339
417	418.7796623
418	419.2249393
419	421.8705293
420	422.0442441
421	420.9372313
422	421.2631694
423	417.3910186
424	419.7385536
425	421.1423663
426	424.7344938
427	424.6585538
428	424.1742304
429	427.1631507
430	430.0557748
431	428.3752086
432	427.9053981
433	429.294228
434	437.5407614
435	443.4474733
436	445.9259835
437	446.8809177
438	453.2665452
439	458.0512393
440	463.28599
441	458.2877413
442	445.1638546
443	450.1299174
444	452.1630467
445	450.7243144
446	446.8776878
447	447.1980743
448	447.7403334
449	447.1103567
450	451.7235982
451	458.1475173
452	458.1295734
453	459.217293
454	456.290093
455	453.5541461
456	452.464483
457	455.3342548
458	455.9609731
459	456.5086295
460	455.9222198
461	453.8573151
462	454.752262
463	450.0197136
464	441.0055831
465	441.7094699
466	441.6417277
467	441.7683837
468	445.0739771
469	448.10757
470	450.6477927
471	469.9883261
472	492.9681489
473	523.424892
474	531.1460147
475	534.7964687
476	533.1524785
477	537.9735031
478	553.4297692
479	573.4476256
480	575.5175805
481	580.8803423
482	580.3031218
483	575.5131491
484	576.5017072
485	576.2122025
486	582.5906881
487	640.1504819
488	686.6876265
489	686.5997392
490	684.0683273
491	735.4773819
492	746.5448594
493	750.4397315
494	753.8621106
495	747.0370957
496	680.7926208
497	649.5266355
498	591.6317914
499	654.1508628
500	670.5183652
501	640.8083945
502	639.0278138
503	648.5802477
504	634.6470808
505	652.7205934
506	674.3251643
507	685.4160815
508	672.9489641
509	668.999353
510	670.8324385
511	670.8838211
512	641.3043463
513	646.5100323
514	650.2791383
515	646.3859329
516	648.3888781
517	656.4929473
518	662.284684
519	657.3198501
520	662.9364505
521	663.1588659
522	669.1208277
523	675.7202723
524	669.9997768
525	668.28879
526	663.17055
527	659.6796268
528	653.2103428
