Date,Open,High,Low,Close,Adj Close,Volume
2012-01-04,2211.995117,2217.520020,2168.644043,2169.389893,2169.389893,49200
2012-01-05,2160.896973,2183.404053,2145.555908,2148.451904,2148.451904,58800
2012-01-06,2148.146973,2164.322021,2132.625977,2163.395020,2163.395020,50600
2012-01-09,2164.740967,2226.218018,2148.452881,2225.889893,2225.889893,76800
2012-01-10,2221.832031,2288.627930,2218.274902,2285.743896,2285.743896,109600
2012-01-11,2282.913086,2290.644043,2265.185059,2276.045898,2276.045898,84400
2012-01-12,2268.739014,2295.224121,2265.256104,2275.010010,2275.010010,71600
2012-01-13,2277.080078,2281.531982,2225.736084,2244.580078,2244.580078,71400
2012-01-16,2230.433105,2241.259033,2206.044922,2206.193115,2206.193115,45800
2012-01-17,2206.531006,2298.375000,2196.115967,2298.375000,2298.375000,87800
2012-01-18,2298.833008,2311.579102,2257.897949,2266.384033,2266.384033,90000
2012-01-19,2266.075928,2305.707031,2259.336914,2296.074951,2296.074951,72400
2012-01-20,2300.500000,2322.891113,2293.893066,2319.117920,2319.117920,70000
2012-01-30,2324.492920,2324.492920,2284.291016,2285.038086,2285.038086,58400
2012-01-31,2285.954102,2296.385010,2277.055908,2292.610107,2292.610107,48800
2012-02-01,2288.065918,2305.863037,2263.342041,2268.080078,2268.080078,53600
2012-02-02,2273.850098,2312.555908,2268.687012,2312.555908,2312.555908,63400
2012-02-03,2306.656006,2336.267090,2300.981934,2330.405029,2330.405029,79000
2012-02-06,2334.248047,2341.574951,2317.422119,2331.135986,2331.135986,75800
2012-02-07,2319.420898,2319.708008,2278.824951,2291.902100,2291.902100,67400
2012-02-08,2291.812012,2350.965088,2286.819092,2347.530029,2347.530029,87200
2012-02-09,2344.224121,2363.613037,2333.935059,2349.589111,2349.589111,98000
2012-02-10,2342.010986,2368.979004,2339.885010,2351.980957,2351.980957,96600
2012-02-13,2332.054932,2365.339111,2325.028076,2351.854004,2351.854004,86200
